TIP_DOCUM_CLI|COD_DOCUM_CLI
RUC|20405311063
RUC|20405914353
RUC|20406432654
RUC|20407751532
RUC|20407755953
RUC|20407765916
RUC|20407776527
RUC|20407793294
RUC|20407795157
RUC|20407800258
RUC|20407802463
RUC|20407808747
RUC|20407846916
RUC|20407847050
RUC|20407883013
RUC|20407915152
RUC|20407918844
RUC|20407931948
RUC|20407948913
RUC|20407950144
RUC|20407956932
RUC|20407987498
RUC|20408014566
RUC|20408021694
RUC|20408027897
RUC|20408030413
RUC|20408061726
RUC|20408147523
RUC|20408147795
RUC|20408148929
RUC|20408339511
RUC|20408662487
RUC|20409222022
RUC|20409222294
RUC|20409279300
RUC|20409301593
RUC|20409304932
RUC|20409339728
RUC|20409351779
RUC|20409365729
RUC|20409382739
RUC|20409397841
RUC|20409406182
RUC|20409479902
RUC|20409495851
RUC|20410047625
RUC|20410409390
RUC|20411046517
RUC|20413040656
RUC|20413398372
RUC|20413846464
RUC|20416191809
RUC|20416216135
RUC|20416496405
RUC|20416505081
RUC|20416626970
RUC|20416849766
RUC|20417494406
RUC|20417507583
RUC|20417717391
RUC|20418177986
RUC|20418233053
RUC|20418885123
RUC|20418926091
RUC|20419131777
RUC|20419158462
RUC|20419367118
RUC|20420250895
RUC|20420310383
RUC|20420361026
RUC|20420700173
RUC|20421456292
RUC|20422139185
RUC|20422143701
RUC|20422831348
RUC|20422915100
RUC|20422920871
RUC|20423941066
RUC|20424729052
RUC|20424887553
RUC|20425136012
RUC|20425252608
RUC|20425476115
RUC|20425619919
RUC|20425890558
RUC|20426138868
RUC|20426458188
RUC|20426484421
RUC|20426843502
RUC|20427324606
RUC|20427574033
RUC|20427582648
RUC|20427583458
RUC|20427624235
RUC|20427725856
RUC|20427730183
RUC|20427786481
RUC|20427923739
RUC|20428170661
RUC|20428237596
RUC|20428875878
RUC|20429240671
RUC|20429560587
RUC|20429746508
RUC|20429978549
RUC|20430186559
RUC|20430480074
RUC|20430725441
RUC|20430948076
RUC|20431088917
RUC|20431858453
RUC|20432109551
RUC|20432706568
RUC|20433367384
RUC|20434121087
RUC|20434331138
RUC|20434842906
RUC|20434874344
RUC|20437475505
RUC|20438214829
RUC|20438551825
RUC|20438640259
RUC|20439147076
RUC|20439200490
RUC|20439208474
RUC|20439342014
RUC|20439348641
RUC|20439442744
RUC|20439504871
RUC|20439536137
RUC|20440120149
RUC|20440170596
RUC|20440193022
RUC|20440198415
RUC|20440229663
RUC|20440251677
RUC|20440256806
RUC|20440273051
RUC|20440302921
RUC|20440304541
RUC|20440304975
RUC|20440314857
RUC|20440322361
RUC|20440324143
RUC|20440353593
RUC|20440365095
RUC|20440392572
RUC|20440402128
RUC|20440444394
RUC|20440452141
RUC|20440491805
RUC|20441599961
RUC|20442347345
RUC|20442847071
RUC|20443652869
RUC|20443759400
RUC|20443957899
RUC|20444927098
RUC|20445167216
RUC|20445288277
RUC|20445345840
RUC|20445346811
RUC|20445401774
RUC|20445499561
RUC|20445502376
RUC|20445506525
RUC|20445568989
RUC|20445619214
RUC|20445671640
RUC|20445737683
RUC|20445742415
RUC|20445762793
RUC|20445773132
RUC|20445779688
RUC|20445781313
RUC|20445798127
RUC|20446323572
RUC|20446402791
RUC|20446953240
RUC|20447321905
RUC|20447367727
RUC|20447642701
RUC|20447705045
RUC|20447758670
RUC|20447909805
RUC|20447973481
RUC|20448004032
RUC|20448013376
RUC|20448193099
RUC|20448279058
RUC|20448373747
RUC|20448464629
RUC|20448469183
RUC|20448484816
RUC|20448524036
RUC|20448638805
RUC|20448769144
RUC|20448775039
RUC|20448859488
RUC|20449225172
RUC|20449239394
RUC|20449262884
RUC|20449283296
RUC|20449295383
RUC|20449335199
RUC|20449363052
RUC|20449400781
RUC|20449431741
RUC|20449470991
RUC|20450219801
RUC|20450221881
RUC|20450335381
RUC|20450362434
RUC|20450388077
RUC|20450389120
RUC|20450405265
RUC|20450409929
RUC|20450419053
RUC|20450482171
RUC|20450500331
RUC|20450508234
RUC|20450515010
RUC|20450574024
RUC|20450600556
RUC|20450607721
RUC|20450626270
RUC|20450639762
RUC|20450640931
RUC|20450641406
RUC|20450718808
RUC|20450760839
RUC|20450793923
RUC|20450878244
RUC|20451266927
RUC|20451366042
RUC|20451375548
RUC|20451388283
RUC|20451457196
RUC|20451459644
RUC|20451466187
RUC|20451475097
RUC|20451540689
RUC|20451555449
RUC|20451557735
RUC|20451603435
RUC|20451662792
RUC|20451679334
RUC|20451695020
RUC|20451741404
RUC|20451773861
RUC|20451778316
RUC|20451779711
RUC|20451795750
RUC|20451800265
RUC|20451817745
RUC|20451831811
RUC|20451841701
RUC|20451993471
RUC|20452114012
RUC|20452236045
RUC|20452281261
RUC|20452292115
RUC|20452308992
RUC|20452400023
RUC|20452405769
RUC|20452450713
RUC|20452472288
RUC|20452518377
RUC|20452528097
RUC|20452547806
RUC|20452562945
RUC|20452578949
RUC|20452596840
RUC|20452598974
RUC|20452624487
RUC|20452664781
RUC|20452694698
RUC|20452703271
RUC|20452704081
RUC|20452719437
RUC|20452748453
RUC|20452752302
RUC|20452755662
RUC|20452761808
RUC|20452765897
RUC|20452794137
RUC|20452820588
RUC|20452838363
RUC|20452840775
RUC|20452847788
RUC|20452857236
RUC|20452861853
RUC|20452899745
RUC|20453383475
RUC|20453738273
RUC|20453743862
RUC|20453757812
RUC|20453897312
RUC|20453926274
RUC|20453957153
RUC|20454029918
RUC|20454094817
RUC|20454108117
RUC|20454176546
RUC|20454184131
RUC|20454203969
RUC|20454229178
RUC|20454248989
RUC|20454286309
RUC|20454293348
RUC|20454369263
RUC|20454377878
RUC|20454394454
RUC|20454413424
RUC|20454459840
RUC|20454475373
RUC|20454505540
RUC|20454522801
RUC|20454569432
RUC|20454617186
RUC|20454655274
RUC|20454671555
RUC|20454703341
RUC|20454743050
RUC|20454788151
RUC|20454794983
RUC|20454831005
RUC|20454839910
RUC|20454919603
RUC|20454922906
RUC|20454938144
RUC|20454948701
RUC|20454951248
RUC|20455099316
RUC|20455120374
RUC|20455143587
RUC|20455174385
RUC|20455177210
RUC|20455180270
RUC|20455182566
RUC|20455212147
RUC|20455249148
RUC|20455257591
RUC|20455278245
RUC|20455278679
RUC|20455290610
RUC|20455294526
RUC|20455299838
RUC|20455302995
RUC|20455332711
RUC|20455339996
RUC|20455346771
RUC|20455363943
RUC|20455391726
RUC|20455394741
RUC|20455419086
RUC|20455442495
RUC|20455453691
RUC|20455483337
RUC|20455494614
RUC|20455506302
RUC|20455527211
RUC|20455537526
RUC|20455541043
RUC|20455549532
RUC|20455554021
RUC|20455568162
RUC|20455636851
RUC|20455682704
RUC|20455707111
RUC|20455731845
RUC|20455736138
RUC|20455785856
RUC|20455801215
RUC|20455813060
RUC|20455841438
RUC|20455841608
RUC|20455870969
RUC|20455911401
RUC|20455933715
RUC|20455986835
RUC|20456094130
RUC|20456099018
RUC|20456107991
RUC|20456129880
RUC|20456161937
RUC|20456194860
RUC|20456230335
RUC|20456275860
RUC|20456277480
RUC|20456281754
RUC|20456300643
RUC|20457017783
RUC|20457454733
RUC|20457738090
RUC|20458460591
RUC|20458786195
RUC|20458810673
RUC|20459001345
RUC|20459151584
RUC|20459388673
RUC|20460076201
RUC|20460201200
RUC|20460221901
RUC|20460600597
RUC|20461076832
RUC|20461309527
RUC|20461315683
RUC|20462065176
RUC|20462188251
RUC|20462526165
RUC|20462620340
RUC|20462885645
RUC|20463143286
RUC|20463439487
RUC|20463722472
RUC|20463815993
RUC|20463863297
RUC|20463901130
RUC|20464284479
RUC|20464722841
RUC|20466009165
RUC|20467075242
RUC|20467249844
RUC|20467305931
RUC|20467491467
RUC|20467682726
RUC|20467905377
RUC|20468672465
RUC|20468985757
RUC|20469100104
RUC|20469295274
RUC|20469317855
RUC|20469613667
RUC|20469634079
RUC|20469748597
RUC|20469936164
RUC|20470006961
RUC|20470700662
RUC|20470783851
RUC|20471278743
RUC|20471398218
RUC|20471420914
RUC|20471505073
RUC|20471988368
RUC|20472251750
RUC|20472304896
RUC|20472312724
RUC|20472395832
RUC|20472542649
RUC|20472687531
RUC|20472702514
RUC|20473283736
RUC|20473642132
RUC|20473646804
RUC|20473698600
RUC|20474011942
RUC|20474022472
RUC|20474160786
RUC|20474666876
RUC|20475120001
RUC|20475318961
RUC|20475522657
RUC|20475592272
RUC|20475767331
RUC|20475990243
RUC|20476046051
RUC|20476640041
RUC|20476646163
RUC|20476721556
RUC|20477155805
RUC|20477159037
RUC|20477163654
RUC|20477166912
RUC|20477171835
RUC|20477200959
RUC|20477233458
RUC|20477261231
RUC|20477262636
RUC|20477266542
RUC|20477268162
RUC|20477268596
RUC|20477276939
RUC|20477337580
RUC|20477351060
RUC|20477361618
RUC|20477378693
RUC|20477381996
RUC|20477405330
RUC|20477446443
RUC|20477450637
RUC|20477455515
RUC|20477456163
RUC|20477465821
RUC|20477466479
RUC|20477504311
RUC|20477508147
RUC|20477517642
RUC|20477555811
RUC|20477557946
RUC|20477575251
RUC|20477599193
RUC|20477614095
RUC|20477615903
RUC|20477670165
RUC|20477671722
RUC|20477672613
RUC|20477689346
RUC|20477709398
RUC|20477716335
RUC|20477746242
RUC|20477746757
RUC|20477767169
RUC|20477780424
RUC|20477792945
RUC|20477801791
RUC|20477865411
RUC|20477884394
RUC|20477886419
RUC|20477890289
RUC|20477930922
RUC|20477969896
RUC|20477990828
RUC|20477994572
RUC|20478001534
RUC|20478004479
RUC|20478012498
RUC|20478034548
RUC|20478057246
RUC|20478088800
RUC|20478091771
RUC|20478102217
RUC|20478162201
RUC|20478190833
RUC|20478204303
RUC|20478211776
RUC|20478737549
RUC|20479378330
RUC|20479433535
RUC|20479439576
RUC|20479478121
RUC|20479478393
RUC|20479548782
RUC|20479587176
RUC|20479603635
RUC|20479606901
RUC|20479808105
RUC|20479859605
RUC|20479908827
RUC|20479970468
RUC|20480009836
RUC|20480040750
RUC|20480049897
RUC|20480057644
RUC|20480059850
RUC|20480096208
RUC|20480156979
RUC|20480160496
RUC|20480172826
RUC|20480238860
RUC|20480280980
RUC|20480297793
